日期,小盘价值,小盘成长,大盘价值,大盘成长
2018/1/3,2.7642,2.2242,1.9571,2.5487
2018/1/4,1.8834,1.5878,0.1482,2.0044
2018/1/5,1.4358,0.6069,1.0014,0.8499
2018/1/8,1.5051,0.3246,1.2785,1.0069
2018/1/9,1.2382,0.2332,1.0216,1.3961
2018/1/10,-0.4629,-0.5955,1.7183,0.7424
2018/1/11,-0.8792,-0.1342,1.1278,-0.0791
2018/1/12,-0.2506,-0.0059,0.9222,0.3824
2018/1/15,-1.6173,-2.443,2.4637,-0.2933
2018/1/16,0.0457,-1.5853,2.1584,0.0117
2018/1/17,1.0687,0.1346,0.8645,0.9557
2018/1/18,0.3524,0.0242,1.235,0.373
2018/1/19,0.8329,-0.1347,1.2646,0.7775
2018/1/22,0.9744,1.0147,1.0883,2.5744
2018/1/23,1.3363,1.5461,2.4609,3.0204
2018/1/24,0.321,0.8859,1.4576,1.6134
2018/1/25,-0.2386,0.4463,-0.7828,-0.2572
2018/1/26,-0.1527,-0.2536,0.0534,-0.6836
2018/1/29,-0.6122,-1.0074,-0.6718,-1.7293
2018/1/30,-0.8006,-1.0537,-3.0851,-3.0819
2018/1/31,-1.2226,-1.4894,-0.4491,-1.2395
2018/2/1,-4.0158,-4.3718,1.9121,-1.0818
2018/2/2,-2.2319,-2.9517,1.1647,-0.3577
2018/2/5,1.0405,-0.723,1.7408,-0.5811
2018/2/6,-4.2465,-4.5673,-1.0473,-5.015
2018/2/7,-5.469,-3.7002,-5.4394,-6.279
2018/2/8,-0.2962,1.3787,-5.6881,-1.8588
2018/2/9,-3.8055,-1.8355,-6.8209,-3.765
2018/2/12,-1.97,-0.1699,-4.1804,-2.1289
2018/2/13,3.536,3.3207,1.9876,3.1893
2018/2/14,1.6917,0.6634,2.7511,1.687
2018/2/22,2.7769,1.9096,2.9421,2.9154
2018/2/23,2.5361,1.7479,2.6348,2.0848
2018/2/26,2.0672,2.4202,1.2418,2.0541
2018/2/27,0.5459,2.4395,-1.6731,0.3469
2018/2/28,-1.0918,0.2651,-3.4719,-1.9876
2018/3/1,0.5567,1.3027,-1.0059,0.4581
2018/3/2,-0.1194,0.5225,-0.3083,-0.2049
2018/3/5,-1.4549,-0.4256,-0.7378,-0.8878
2018/3/6,1.2863,1.2714,0.9381,1.256
2018/3/7,0.9218,0.3922,0.8232,-0.0503
2018/3/8,-0.569,-0.3913,0.7994,-0.1291
2018/3/9,1.3109,1.9742,1.3263,2.5232
2018/3/12,1.8443,3.0506,0.3155,2.4872
2018/3/13,0.5839,0.8382,-0.6043,0.1779
2018/3/14,-0.9933,-1.739,-1.2345,-1.5234
2018/3/15,-0.9314,-1.5175,-0.0144,-0.1335
2018/3/16,-0.9024,-0.7897,-0.1903,-0.9832
2018/3/19,-1.0889,-0.2894,-0.3417,-1.6249
2018/3/20,-0.5536,0.5574,0.6482,-0.1876
2018/3/21,-0.5055,-0.5237,-0.2075,-0.5973
2018/3/22,-1.1345,-1.4678,-1.3608,-1.7689
2018/3/23,-5.5267,-5.4174,-3.2364,-4.9261
2018/3/26,-3.8284,-2.8248,-4.4017,-3.7381
2018/3/27,2.6403,4.5208,-2.1455,1.5256
2018/3/28,-0.0658,1.4395,-1.6252,-0.5021
2018/3/29,0.2227,-0.0588,0.3848,-0.4906
2018/3/30,2.0102,2.4449,1.3031,1.8777
2018/4/2,0.4736,1.8658,-1.3273,-0.346
2018/4/3,-1.042,-0.8638,-1.1233,-1.0136
2018/4/4,-1.6305,-2.0926,-0.5685,-0.5124
2018/4/9,-0.7666,-0.8192,0.0414,-0.6672
2018/4/10,1.2902,0.6287,2.7819,1.4151
2018/4/11,2.1877,1.2426,3.0859,2.325
2018/4/12,-0.0837,0.3072,-0.958,-0.785
2018/4/13,-1.0682,-0.8934,-2.0491,-1.8526
2018/4/16,-1.5118,-0.6227,-3.2293,-2.6571
2018/4/17,-2.8555,-2.3348,-3.3512,-3.3236
2018/4/18,-1.2223,-0.8876,-0.2579,-0.8723
2018/4/19,1.5328,1.5979,1.76,2.3375
2018/4/20,-1.4161,-2.0337,0.2498,-0.3522
2018/4/23,-2.6429,-3.6196,-0.2107,-1.3452
2018/4/24,2.1126,1.1528,2.8164,3.1216
2018/4/25,2.1079,2.5594,1.1089,2.1143
2018/4/26,-2.1031,-1.7724,-2.683,-3.1652
2018/4/27,-1.6412,-1.4226,-1.9635,-3.0834
2018/5/2,0.8487,0.0809,-0.1389,0.1658
2018/5/3,1.3334,0.5301,0.6237,1.9267
2018/5/4,0.7833,0.4543,-0.2354,0.8607
2018/5/7,2.3557,1.5123,0.3443,0.8162
2018/5/8,2.8197,2.2231,2.7236,2.795
2018/5/9,0.387,-0.122,1.5009,0.8266
2018/5/10,0.3147,-0.0209,0.1863,0.2818
2018/5/11,-0.1032,-0.5478,0.1213,-0.0846
