基金代码,基金代码,总市值,一致预期PE,每股一致预期增速,静态pe,毛利率,净利率,roe,roic,经营现金流净额/净利润,资产负债率,静态pb,总市值排名,一致预期PE排名,每股一致预期增速排名,静态pe排名,毛利率排名,净利率排名,roe排名,roic排名,经营现金流净额/净利润排名,资产负债率排名,静态pb排名,股票个数,前十大股票占比,前三大行业占比,股票个数排名,前十大股票占比排名,前三大行业占比排名,换手率,换手率排名,交易效率,交易效率排名
000001.OF,000001.OF,1771.742872,23.06922122,29.07067275,21.78055526,24.28438624,10.65064135,12.56222155,9.85955171,57.96323497,43.37373517,4.0791101,0.460200087,0.267507612,0.505437147,0.334493258,0.298390605,0.208351457,0.460200087,0.456285341,0.474554154,0.615050022,0.456720313,88,39.19,36.24,0.903436277,0.365376251,0.311222271,2.945677489,0.584167029,-3.639930942894882,0.24532405393649412
000006.OF,000006.OF,459.6790203,25.11597781,46.83377848,36.12038979,31.70057775,14.68227751,13.69842753,12.25960083,70.49211857,43.04011467,4.09202191,0.072640278,0.327098739,0.799043062,0.74554154,0.593301435,0.519791214,0.57677251,0.695954763,0.762505437,0.600260983,0.458895172,217,8.19,24.71,0.978686385,0.008699435,0.095258808,2.709888723,0.551109178,1.0422488776119387,0.605045672031318
000011.OF,000011.OF,1286.905111,27.79473175,14.77221734,20.74704023,31.85592838,11.93946501,13.58404827,11.27922887,67.50812322,48.69063365,3.32848864,0.355371901,0.424097434,0.180513267,0.297955633,0.60200087,0.300565463,0.56415833,0.609830361,0.689865159,0.814702044,0.311439756,31,57.02,31.08,0.275119617,0.791866029,0.18399304,0.729966903,0.074380165,17.071566640604253,0.9678120922140061
000017.OF,000017.OF,2931.105622,42.41459765,31.87383208,38.84405477,42.7440804,18.24708951,14.46530286,13.3390821,60.50580285,33.60167661,7.24623189,0.668551544,0.863853849,0.563723358,0.799913006,0.903001305,0.792083515,0.650282732,0.775989561,0.533710309,0.211396259,0.919530231,46,40.48,53.6,0.607003045,0.397564158,0.709873858,2.536457541,0.519356242,-4.08410100407827,0.22575032622879512
000020.OF,000020.OF,1006.454125,30.21824495,53.67271449,30.924196,31.72539449,12.90725449,15.85398553,14.01756422,66.45739118,39.8438014,5.10896867,0.267942584,0.522401044,0.855154415,0.61722488,0.595911266,0.365376251,0.771639843,0.813397129,0.663331883,0.44845585,0.658982166,55,30.93,34.62,0.734884732,0.203566768,0.272292301,2.235024851,0.44584602,4.794010502928409,0.8216615919965202
000021.OF,000021.OF,2369.593152,37.10659777,29.4529374,31.20631039,28.04837541,14.10851173,14.86304317,11.27924396,65.97727145,49.53312535,5.96813875,0.573292736,0.759460635,0.517616355,0.621139626,0.440191388,0.472814267,0.686385385,0.610265333,0.655937364,0.835580687,0.796433232,114,36.91,35.81,0.936494128,0.308394954,0.297955633,2.652669588,0.540669856,-0.19270735500285768,0.4867333623314485
000029.OF,000029.OF,1352.962281,30.60418248,42.97510838,18.82009674,24.96716477,14.81675949,9.81108178,7.44956914,54.56623999,41.14331546,3.89968443,0.371900826,0.537190083,0.751631144,0.249238799,0.319704219,0.529360592,0.252283602,0.231404959,0.414528056,0.50630709,0.42322749,88,24.86,28.76,0.903436277,0.123096999,0.149630274,6.070594971,0.877337973,1.98576314473081,0.6824706394084384
000030.OF,000030.OF,1291.757463,13.63495723,53.15106161,14.46281278,24.73577803,13.93503797,18.36977707,11.0391179,60.46200974,52.3009251,2.8222693,0.357981731,0.030013049,0.851239669,0.175728578,0.312744672,0.456285341,0.918660287,0.582862114,0.532405394,0.885602436,0.226185298,70,37.43,43.47,0.853414528,0.320356677,0.523705959,2.39106193,0.487168334,3.6067440377840825,0.7725097868638539
000031.OF,000031.OF,469.7409165,42.58133694,43.79494615,44.85305363,31.60151162,11.29819772,13.20838032,12.95576538,76.1439106,40.55408644,7.78843825,0.076120052,0.866898652,0.762505437,0.880817747,0.587646803,0.25445846,0.528055676,0.744236625,0.872988256,0.479773815,0.943018704,37,54.14,56.25,0.42322749,0.73923445,0.746846455,2.63253382,0.537190083,3.456531323878681,0.7659852109612875
000039.OF,000039.OF,1217.981928,34.17211816,43.1426994,34.25686798,45.16194509,11.58347222,12.84952692,13.5680453,68.27594841,30.62763041,6.44264499,0.333623314,0.669421488,0.756415833,0.702479339,0.927794693,0.274902131,0.492822967,0.789908656,0.705959113,0.154414963,0.851674641,50,41.16,61.43,0.6661592,0.414093084,0.818834276,5.178791543,0.828186168,-0.7831868315847373,0.42322749021313616
