基金代码,基金代码,基金代码.1,总市值,一致预期PE,每股一致预期增速,静态pe,毛利率,净利率,roe,roic,经营现金流净额/净利润,资产负债率,静态pb,总市值排名,一致预期PE排名,每股一致预期增速排名,静态pe排名,毛利率排名,净利率排名,roe排名,roic排名,经营现金流净额/净利润排名,资产负债率排名,静态pb排名,股票个数,前十大股票占比,前三大行业占比,股票个数排名,前十大股票占比排名,前三大行业占比排名,换手率,换手率排名,交易效率,交易效率排名
000001.OF,000001.OF,000001.OF,4260.876336,25.66436318,21.55886655,28.66786235,26.10117988,14.45507326,12.4792736,9.02775801,58.17490517,36.66563107,4.66980266,0.668819983,0.154177433,0.291559001,0.186046512,0.294573643,0.416020672,0.405254091,0.274763135,0.334625323,0.448320413,0.231696813,93,44.8,29.14,0.905254091,0.404823428,0.152885444,3.735543614,0.413006029,2.674200095686529,0.23858742463393626
000006.OF,000006.OF,000006.OF,1268.744456,39.53500323,38.11406008,52.06608261,32.4765229,15.65786219,13.67386443,12.12237734,62.51738206,39.89636932,7.81349627,0.170542636,0.52670112,0.587855297,0.439707149,0.523686477,0.503014643,0.500430663,0.520241171,0.431524548,0.628768303,0.489233419,182,7.92,28.9,0.972437554,0.018087855,0.149009475,4.173039104,0.440568475,4.670406726195873,0.36003445305770887
000011.OF,000011.OF,000011.OF,1004.171304,31.15303893,15.08698823,47.14919425,28.72932038,5.10533125,10.0567778,8.86914462,32.01121635,44.27941273,6.10557535,0.122739018,0.290697674,0.185615848,0.378552972,0.378122308,0.069336779,0.239018088,0.265719208,0.112833764,0.799310939,0.333763997,36,54.68,32.74,0.349483204,0.671834625,0.20456503,1.344363653,0.147286822,30.652473330443428,0.8936261843238588
000017.OF,000017.OF,000017.OF,4060.711782,52.84748264,45.47443355,94.07207152,39.88691262,18.76541217,15.82810486,14.1395088,75.14421903,35.67250136,11.95678807,0.638242894,0.827734711,0.711455642,0.916881998,0.789836348,0.736434109,0.676141258,0.689922481,0.795004307,0.396210164,0.830749354,39,48.33,51.94,0.426141258,0.493540052,0.611541774,3.150436384,0.366494401,8.452444437614773,0.541343669250646
000020.OF,000020.OF,000020.OF,2097.282839,45.89521227,32.30149486,64.59136848,41.529984,18.70335673,16.31180297,15.7083227,73.52727319,29.69187887,10.94456363,0.333763997,0.6791559,0.482773471,0.613264427,0.825581395,0.733850129,0.720930233,0.801464255,0.750645995,0.187338501,0.766149871,58,34.1,48.75,0.750861326,0.223514212,0.542635659,2.408746793,0.291989664,9.90757828483801,0.590869939707149
000021.OF,000021.OF,000021.OF,3480.620304,54.80562281,45.63970661,95.56544371,38.11992562,17.66434732,14.5267055,13.59072573,67.68299288,40.81707515,12.1680825,0.558570198,0.860465116,0.713608958,0.925064599,0.734280792,0.661068045,0.568475452,0.651162791,0.563307494,0.674849268,0.838501292,99,36.53,34.57,0.913221361,0.256244617,0.24461671,2.767918832,0.330749354,8.777050244080279,0.5534022394487511
000029.OF,000029.OF,000029.OF,1434.605011,33.9255006,85.66117607,57.08294786,22.16645374,15.52347185,12.58775833,9.29723497,48.39432643,46.87209176,6.35858714,0.199827735,0.353574505,0.9625323,0.508613264,0.196382429,0.492678725,0.410852713,0.290267011,0.199397071,0.866494401,0.356158484,81,28.63,34.8,0.881352283,0.167527993,0.251937984,4.775322174,0.475021533,2.8945063487563547,0.25064599483204136
000030.OF,000030.OF,000030.OF,5546.794036,34.17321166,51.19201439,54.73170619,33.57015202,22.83684989,20.46452492,15.56977087,64.19765706,48.8527738,11.12652853,0.838931955,0.361757106,0.777347115,0.475021533,0.566752799,0.931524548,0.940999139,0.789405685,0.472006891,0.898794143,0.78079242,84,41.81,38.21,0.888027562,0.343669251,0.31955211,3.336326347,0.385874246,4.715090402995281,0.36391042204995694
000031.OF,000031.OF,000031.OF,1489.935626,48.417685,66.61002202,87.06885882,37.62452309,15.10322069,12.33210933,13.08835773,71.70877623,39.60327888,12.19872755,0.209732989,0.735572782,0.899655469,0.867355728,0.718346253,0.45994832,0.391903531,0.605943152,0.696813092,0.613264427,0.840654608,35,56.13,47.76,0.322782084,0.709302326,0.523686477,1.547272328,0.175279931,9.670917361613927,0.5835486649440138
000039.OF,000039.OF,000039.OF,3055.035013,49.99245773,66.91830947,80.59194362,40.09774712,16.81314088,14.8243396,14.23387484,78.70472245,34.65002223,10.68928361,0.497846684,0.773471146,0.902670112,0.803617571,0.795865633,0.599483204,0.595607235,0.696813092,0.893195521,0.34496124,0.748062016,48,47.23,42.08,0.608957795,0.461455642,0.40913006,4.886723459,0.480189492,2.2575413306194214,0.20714900947459086
