基金代码,总市值,一致预期PE,每股一致预期增速,静态pe,毛利率,净利率,roe,roic,经营现金流净额/净利润,资产负债率,静态pb,总市值排名,一致预期PE排名,每股一致预期增速排名,静态pe排名,毛利率排名,净利率排名,roe排名,roic排名,经营现金流净额/净利润排名,资产负债率排名,静态pb排名,股票个数,前十大股票占比,前三大行业占比,股票个数排名,前十大股票占比排名,前三大行业占比排名,换手率,换手率排名
000001.OF,1474.432688,51.13234087,29.62728126,48.86075161,27.6121869,12.97608192,10.1433581,10.0201217,54.75571023,24.73771848,7.35065277,0.335361489,0.885468862,0.220114531,0.613457409,0.362204724,0.330708661,0.227272727,0.308518253,0.212598425,0.096635648,0.5365068,81,20.42,49.42,0.831424481,0.098067287,0.534359341,1.769616197,0.33321403
000006.OF,508.8422037,40.31651276,125.4708617,68.05717469,37.75285405,19.3029148,16.34649973,15.133286,78.73562496,33.93269009,9.22071133,0.067287044,0.594130279,0.984609878,0.884395132,0.799212598,0.797780959,0.804939155,0.846098783,0.924481031,0.290980673,0.771295634,132,14.22,40.78,0.939692198,0.057265569,0.328203293,7.172676345,0.905511811
000011.OF,961.5338151,28.48985925,52.61235276,-28.36222513,23.62036552,9.35029259,13.33159441,11.76421861,67.628226,44.43965927,5.44663702,0.193629205,0.202219041,0.57408733,0.006084467,0.205440229,0.136363636,0.514316392,0.498210451,0.521474588,0.811023622,0.304581246,35,54.56,45.08,0.256442377,0.743020759,0.445060845,2.095747367,0.410164639
000017.OF,3712.440446,51.04624662,29.04541547,61.26067116,39.63753879,18.75944198,15.54443727,16.46523817,72.30582549,37.69873179,10.8804137,0.761274159,0.884395132,0.211524696,0.811023622,0.840372226,0.766642806,0.742304939,0.902648533,0.728704366,0.452755906,0.909448819,46,45.57,63.28,0.465998568,0.522548318,0.772548318,3.749248831,0.68503937
000020.OF,2312.42629,44.41635133,54.17847609,54.19926894,30.92503182,16.54067976,14.77170624,14.33970181,67.43062525,37.24106606,9.74515036,0.53614889,0.739799571,0.597351467,0.699713672,0.539012169,0.615604868,0.664638511,0.793486042,0.515032212,0.431281317,0.831066571,57,38.54,40.54,0.640658554,0.338940587,0.322297781,2.478665424,0.497136722
000021.OF,2382.753837,45.32351643,65.45608294,54.56282769,30.19186917,15.45183757,13.61719829,11.65257846,64.82711546,44.18752884,8.63716401,0.552612742,0.763063708,0.749463135,0.705440229,0.498568361,0.532211883,0.543664996,0.487115247,0.417680744,0.801360057,0.700429492,128,29.59,45.69,0.933786686,0.188260558,0.460272011,2.217894141,0.440944882
000029.OF,541.3138325,32.09466955,57.30185389,32.4837001,22.82285652,9.79371047,10.61906109,9.24550293,61.58755495,38.62414369,5.17676465,0.075876879,0.301717967,0.641374374,0.33392985,0.187902649,0.152469578,0.263779528,0.244810308,0.327487473,0.504652827,0.283822477,83,22.75,43.02,0.838403722,0.114889048,0.386542591,7.290259256,0.908732999
000030.OF,3162.93118,38.57787338,66.25427136,49.82225113,41.49658003,22.040065,17.60307251,14.8899453,78.46633712,41.54650342,9.14540532,0.696850394,0.531496063,0.757695061,0.625984252,0.869362921,0.910164639,0.869362921,0.83285612,0.918396564,0.675375805,0.765926986,131,34.11,40.1,0.938260558,0.249821045,0.309591983,2.097511766,0.411596278
000031.OF,1876.308357,45.23623602,70.5347265,67.97593186,33.9197879,16.19727762,14.37219447,13.93104436,73.88166382,38.54996777,10.07655003,0.435934145,0.760558339,0.7956335,0.882963493,0.678596994,0.589835361,0.623478883,0.756621331,0.784896206,0.50071582,0.856120258,40,62.83,44.26,0.349856836,0.88027917,0.421259843,1.590159777,0.288117394
000039.OF,1867.904008,46.77007248,81.58366574,74.01707336,30.76726705,13.62684871,11.57373604,10.25961348,67.84266461,41.18594356,8.33992121,0.434502505,0.799212598,0.875447387,0.933428776,0.530780243,0.378668576,0.335361489,0.330708661,0.527559055,0.653901217,0.670365068,51,44.2,49.75,0.550286328,0.493199714,0.540443808,3.817217599,0.693629205
000056.OF,5728.101601,36.68762032,30.23500054,36.1685855,34.26233378,15.73682812,15.26580062,13.99151943,63.36431638,31.6946748,7.5400446,0.92662849,0.464924839,0.229420186,0.401216893,0.691839656,0.55583393,0.711882606,0.763421618,0.372226199,0.216893343,0.564423765,40,42.09,54.97,0.349856836,0.431102362,0.635289907,1.88807511,0.360057266
000057.OF,5902.327312,35.96821266,23.22561821,8.39611928,38.05701367,17.87351122,16.04497815,14.0714884,72.36644309,39.79996832,7.57918268,0.935576235,0.437007874,0.14781675,0.065497495,0.806728704,0.710450966,0.77845383,0.770221904,0.730493916,0.57444524,0.570150322,40,50.65,55.44,0.349856836,0.64889048,0.642984968,1.866706827,0.356120258
000058.OF,3964.874927,25.21188225,19.69876145,9.91146081,8.67743491,7.11514151,4.9469765,3.44598834,24.16606264,16.65648688,1.722774,0.792770222,0.124910523,0.113457409,0.080171797,0.042591267,0.089835361,0.068002863,0.053328561,0.056907659,0.05511811,0.066213314,54,12.82,17.07,0.599498926,0.050465283,0.058697208,0.796568809,0.095561918
000061.OF,546.2219987,43.72659359,41.10076759,45.15756306,23.59000767,10.4418257,9.92960103,8.51286126,55.6590431,33.7695398,4.22552367,0.077308518,0.72297781,0.395132427,0.552612742,0.204724409,0.174302076,0.213672155,0.20293486,0.224409449,0.282390838,0.211524696,80,27.89,32.45,0.826950608,0.16678597,0.164459556,1.551359789,0.278811739
000063.OF,1736.91337,50.24434721,73.27113955,68.11193876,22.34798102,9.69278135,8.31661182,8.38097586,50.90846445,27.10274784,7.26172366,0.404438082,0.871510379,0.81460272,0.885110952,0.177881174,0.14781675,0.136005727,0.195060845,0.173944166,0.127415891,0.524695777,61,36.93,51.26,0.691839656,0.306728704,0.568002863,9.04225513,0.943450251
000066.OF,787.0120571,39.00877614,53.05621628,14.23948833,29.84946247,15.14182329,15.13870474,12.22751926,78.2431473,38.37473233,8.24949551,0.141374374,0.547602004,0.580529707,0.124910523,0.480314961,0.502863278,0.700787402,0.558697208,0.915891195,0.495347173,0.655332856,35,50.24,65.91,0.256442377,0.639584825,0.807086614,11.65039333,0.973872584
000072.OF,1612.691047,42.34353557,9.97375846,12.49973538,6.82014569,3.93814412,2.52117904,2.23473495,13.19666254,8.44435567,1.48006437,0.378668576,0.679312813,0.040443808,0.104509664,0.028274875,0.041517538,0.025411596,0.027201145,0.019685039,0.009663565,0.049749463,163,3.31,7.16,0.957587688,0.001073729,0.010379384,0.325909491,0.020042949
000073.OF,3067.405545,44.03686568,54.26149409,64.19839957,43.23574139,21.01045199,18.79191512,17.77880656,74.65730399,34.89803028,12.01620156,0.68503937,0.729778096,0.599498926,0.848604152,0.895848246,0.877952756,0.917322835,0.939155333,0.807086614,0.327129563,0.958482462,45,50.05,47.01,0.445776664,0.635289907,0.491052255,3.859016128,0.700071582
000082.OF,2639.945435,30.76533217,46.23599879,31.932326,30.57107412,18.55165012,15.52374292,12.39004499,63.74029756,43.44536905,6.90307554,0.61059413,0.260558339,0.473872584,0.324266285,0.520758769,0.755905512,0.739441661,0.583392985,0.384037223,0.771295634,0.472798855,189,24.24,26.85,0.967072298,0.131352899,0.10146743,1.290552623,0.211882606
000083.OF,6403.256236,45.33871095,54.76090741,51.98538677,53.77893629,25.191186,26.74399882,24.54485118,84.21922616,36.9419889,15.20283974,0.954903364,0.764137437,0.606299213,0.662848962,0.988904796,0.970651396,0.998568361,0.997852541,0.989978525,0.414817466,0.997852541,37,62.64,69.49,0.292770222,0.878668576,0.840372226,0.753534707,0.084108805
